T,U,p,t,x
300.0,6.83246e-13,10000000.0,0.0004,-0.325
300.0,1.84884e-13,10000000.0,0.0004,-0.335
300.0,4.26026e-13,10000000.0,0.0004,-0.345
300.0,4.26022e-13,10000000.0,0.0004,-0.355
300.0,2.08989e-13,10000000.0,0.0004,-0.365
300.0,3.93874e-13,10000000.0,0.0004,-0.375
300.0,7.87744e-13,10000000.0,0.0004,-0.385
300.0,8.04218e-15,10000000.0,0.0004,-0.395
300.0,7.47558e-13,10000000.0,0.0004,-0.405
300.0,9.24391e-13,10000000.0,0.0004,-0.415
300.0,9.6456e-14,10000000.0,0.0004,-0.425
300.0,5.78748e-13,10000000.0,0.0004,-0.435
300.0,9.8066e-13,10000000.0,0.0004,-0.445
300.0,2.53203e-12,10000000.0,0.0004,-0.455
300.0,1.07712e-12,10000000.0,0.0004,-0.465
300.0,1.4308e-12,10000000.0,0.0004,-0.475
300.0,9.88693e-13,10000000.0,0.0004,-0.485
300.0,4.66218e-13,10000000.0,0.0004,-0.495
300.0,9.40466e-13,10000000.0,0.0004,-0.505
